tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id
119304,Ask_Spectrum,False,2017-10-11 13:42:00+00:00,"@105854 I am sorry for the poor experience. Can you please DM the full service address and name on the account, as we ass... https://t.co/JEZhqGdBMd",119305,119306
119305,105854,True,2017-10-11 13:49:52+00:00,@Ask_Spectrum It's just in my yard. I've called 4-5 times in 6 weeks. I'm not a customer but it's pretty tempting. I do have some coaxial,,119304
119306,105854,True,2017-10-11 13:27:49+00:00,@76501 I guess this means free cable for the neighborhood. https://t.co/FBgEE9YXPm,"119304,119307",
119308,Tesco,False,2017-10-11 13:33:07+00:00,"@105855 Hi Thomas, if a colleague believes the person buying alcohol looks under 25, they will be challenged for ID to prove they're of age. - Paige",119309,119310
119309,105855,True,2017-10-11 13:33:43+00:00,@Tesco Maybe hire colleagues who can see?,,119308
119310,105855,True,2017-10-11 13:31:06+00:00,@Tesco The point is if it's enforced they do it properly or they don't. Plus take some common-sense and think does that person look over 18?,119308,119311
119311,Tesco,False,2017-10-11 13:28:34+00:00,"@105855 Hi Thomas, this is correct but this helps our store colleagues judge age and protect them from making underage sales. Amanda","119310,119312",119313
119313,105855,True,2017-10-11 12:29:52+00:00,@Tesco Uk offlicense law is 18. Not 25,119311,119314
119314,Tesco,False,2017-10-11 12:17:02+00:00,"@105855 Hi Thomas, we operate a Think 25 policy at our stores. I'd be flattered to be ID'd. :-) - Helena",119313,119315
119315,105855,True,2017-10-11 12:14:41+00:00,Got id's @Tesco for buying one Adnams Broadside. Is being blind part of the job-spec? I am 35 and 99 kilos.,"119316,119314",
119317,Tesco,False,2017-10-11 13:42:19+00:00,"@105856 Hi there, could you try deleting your cache and cookies and reinstalling the app if using it? This should fix the issue :) - Dani",119318,119319
119318,105856,True,2017-10-11 13:43:09+00:00,@Tesco Will I lose all the shopping I've done if I delete the cache/cookies (not using app)?,119320,119317
119320,Tesco,False,2017-10-11 13:45:00+00:00,"@105856 Hi there, as long as you sign out of your account prior to deleting your cache &amp; cookies, you'll still have a full basket :) Thanks - Mike",119321,119318
119321,105856,True,2017-10-11 13:48:39+00:00,@Tesco Done all that. Still telling me there are no delivery slots whatsoever.,119322,119320
119322,Tesco,False,2017-10-11 13:49:29+00:00,"@105856 Can you DM me your full name, address and email? I'd be happy to look into this further for you :) Thanks - Mike",,119321
119319,105856,True,2017-10-11 13:36:32+00:00,"Hey @Tesco, your website's broken. It's telling me there are no delivery slots for the next 3 weeks, which I find slightly unlikely.",119317,
119323,AppleSupport,False,2017-10-11 13:55:31+00:00,@105857 Is there a particular app that seems to cause these issues more than others? What model iPhone are you using? Join us in DM. https://t.co/GDrqU22YpT,,119324
119324,105857,True,2017-10-11 08:52:14+00:00,@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,119323,119325
119325,AppleSupport,False,2017-10-11 00:19:34+00:00,@105857 We'd like to help if we can. When did this start happening? Which version of iOS are you running currently?,119324,119326
119326,105857,True,2017-10-10 23:09:08+00:00,My apps stop working without warning and my phone freezes every five minutes! Love the new update @76099!!!!,119325,
119327,HPSupport,False,2017-10-11 13:36:36+00:00,"@105858 Hi Agoura, thanks for tweeting. Please refer to this article: https://t.co/BSsgjZARTc &amp; click the link to reply back. ^Rashmi https://t.co/a2xkfCrUG1",,119328
119328,105858,True,2017-10-11 02:04:50+00:00,@HPSupport Problem with printhead  Serial# TH536D1HN #hpcswus #hpprnt,119327,
119329,UPSHelp,False,2017-10-11 13:56:00+00:00,@105859 UPS has a service called My Choice that will allow your packages to be delivered to UPS Store. ^ML  https://t.co/BPZKndqww1 https://t.co/wKJHDXWGRQ,,119330
119330,105859,True,2017-10-11 13:50:42+00:00,@105860 I wish Amazon had an option of where I can just get it shipped to the ups store so I can avoid a lot of the struggle,119329,119331
119331,105860,True,2017-10-11 13:47:14+00:00,They reschedule my shit for tomorrow https://t.co/RsvZcT982t,119330,
119332,Tesco,False,2017-10-11 13:34:06+00:00,"@105861 Hey Sara, sorry to hear of the issues you are having, can I ask if it's the lay out or just the speed of the website responding? TY - Chris",119333,119334
119333,105861,True,2017-10-11 14:05:18+00:00,@Tesco bit of both - finding the layout cumbersome and when removing an item from faves - getting a huge slowdown. Not keen on the thin green line https://t.co/9281OKEebk,"119335,119336",119332
119335,Tesco,False,2017-10-11 15:38:07+00:00,"@105861 If that doesn't help please DM your full name, address and email including the browser and device so we can log this. Thanks - Lee 2/2",,119333
